# x_m,y_m,w_tr_right_m,w_tr_left_m
-3.2300000000000004,-1.4699999999999998,0.65,0.7071067811865476
-3.2800000000000002,-1.5199999999999996,0.670820393249937,0.651920240520265
-3.5300000000000002,-1.5199999999999996,0.570087712549569,0.65
-3.58,-1.5700000000000003,0.6041522986797286,0.6020797289396148
-3.6800000000000006,-1.5700000000000003,0.5590169943749475,0.6184658438426491
-3.7300000000000004,-1.62,0.5830951894845301,0.5852349955359814
-3.88,-1.62,0.5220153254455275,0.608276253029822
-3.9300000000000006,-1.67,0.5590169943749475,0.570087712549569
-3.9800000000000004,-1.67,0.5385164807134504,0.5852349955359814
-4.03,-1.7199999999999998,0.5590169943749475,0.552268050859363
-4.130000000000001,-1.7199999999999998,0.5147815070493501,0.570087712549569
-4.18,-1.7699999999999996,0.5385164807134504,0.5385164807134504
-4.23,-1.7699999999999996,0.5147815070493501,0.5590169943749475
-4.28,-1.8200000000000003,0.5385164807134504,0.5220153254455275
-4.380000000000001,-1.8200000000000003,0.5,0.5590169943749475
-4.43,-1.87,0.5147815070493501,0.5220153254455275
-4.48,-1.87,0.49244289008980524,0.5385164807134504
-4.58,-1.9699999999999998,0.5385164807134504,0.5
-4.630000000000001,-1.9699999999999998,0.5147815070493501,0.5315072906367325
-4.68,-2.0199999999999996,0.5385164807134504,0.5315072906367325
-4.73,-2.0199999999999996,0.5220153254455275,0.5656854249492381
-4.83,-2.12,0.6020797289396148,0.570087712549569
-4.880000000000001,-2.12,0.5830951894845301,0.6103277807866851
-5.03,-2.2699999999999996,0.65,0.6363961030678928
-5.08,-2.2699999999999996,0.632455532033676,0.6726812023536856
-5.33,-2.5199999999999996,0.73824115301167,0.7762087348130012
-5.33,-2.5700000000000003,0.7810249675906654,0.7648529270389178
-5.380000000000001,-2.62,0.7905694150420949,0.8062257748298549
-5.380000000000001,-2.67,0.8321658488546619,0.8015609770940699
-5.43,-2.7199999999999998,0.8321658488546619,0.8500000000000001
-5.43,-3.2700000000000005,0.7810249675906654,0.8500000000000001
-5.380000000000001,-3.3200000000000003,0.7905694150420949,0.8
-5.380000000000001,-3.37,0.7632168761236874,0.8015609770940699
-5.33,-3.42,0.7648529270389178,0.7566372975210779
-5.33,-3.47,0.7158910531638177,0.7648529270389178
-5.28,-3.52,0.6800735254367722,0.7280109889280518
-5.23,-3.52,0.696419413859206,0.6800735254367722
-5.08,-3.67,0.5590169943749475,0.6103277807866851
-5.03,-3.67,0.570087712549569,0.570087712549569
-4.98,-3.72,0.5385164807134504,0.5656854249492381
-4.880000000000001,-3.72,0.55,0.4949747468305833
-4.83,-3.77,0.5,0.4949747468305833
-4.68,-3.77,0.5,0.40311288741492746
-4.630000000000001,-3.8200000000000003,0.45,0.42720018726587655
-4.33,-3.8200000000000003,0.4609772228646444,0.4
-4.28,-3.87,0.42720018726587655,0.45
-3.9300000000000006,-3.87,0.5024937810560445,0.5147815070493501
-3.88,-3.8200000000000003,0.5590169943749475,0.5
-3.6800000000000006,-3.8200000000000003,0.6264982043070835,0.6403124237432849
-3.63,-3.77,0.6946221994724903,0.651920240520265
-3.4800000000000004,-3.77,0.7810249675906654,0.7826237921249265
-3.4300000000000006,-3.72,0.8500000000000001,0.8077747210701756
-3.08,-3.72,1.0606601717798214,1.044030650891055
-2.9800000000000004,-3.8200000000000003,1.0606601717798214,1.0965856099730655
-2.9299999999999997,-3.8200000000000003,1.0965856099730655,1.0770329614269007
-2.83,-3.92,1.0965856099730655,1.140175425099138
-2.7800000000000002,-3.92,1.1236102527122116,1.118033988749895
-2.7300000000000004,-3.97,1.110180165558726,1.1412712210513327
-2.6799999999999997,-3.97,1.140175425099138,1.118033988749895
-2.58,-4.07,1.1313708498984762,1.1629703349613008
-2.5300000000000002,-4.07,1.1672617529928753,1.1423659658795864
-2.4800000000000004,-4.12,1.1672617529928753,1.1704699910719627
-2.4299999999999997,-4.12,1.2020815280171309,1.1543396380615196
-2.38,-4.17,1.1926860441876563,1.1884864324004714
-2.33,-4.17,1.2206555615733703,1.176860229593982
-2.2800000000000002,-4.220000000000001,1.2093386622447824,1.216552506059644
-2.1799999999999997,-4.220000000000001,1.2539936203984454,1.2041594578792296
-2.13,-4.27,1.2298373876248845,1.2509996003196804
-1.9800000000000004,-4.27,1.2971121771072847,1.2257650672131264
-1.9299999999999997,-4.32,1.264911064067352,1.2658988901172163
-1.7800000000000002,-4.32,1.3124404748406688,1.2509996003196804
-1.7300000000000004,-4.37,1.2816005617976298,1.2980754985747172
-1.5300000000000002,-4.37,1.3462912017836262,1.2589678312014172
-1.4800000000000004,-4.42,1.3086252328302401,1.2980754985747172
-1.33,-4.42,1.3341664064126335,1.264911064067352
-1.2800000000000002,-4.470000000000001,1.2980754985747172,1.2980754985747172
-1.13,-4.470000000000001,1.3341664064126335,1.2658988901172163
-1.08,-4.52,1.2980754985747172,1.3086252328302401
-0.8300000000000001,-4.52,1.3756816492197605,1.3
-0.7800000000000002,-4.57,1.3462912017836262,1.35
-0.5300000000000002,-4.57,1.4080127840328724,1.3462912017836262
-0.4800000000000004,-4.62,1.3756816492197605,1.3829316685939332
-0.33000000000000007,-4.62,1.4317821063276355,1.3583077707206126
-0.28000000000000025,-4.67,1.4080127840328724,1.40356688476182
-0.17999999999999972,-4.67,1.439618004888797,1.3946325680981353
-0.1299999999999999,-4.720000000000001,1.4080127840328724,1.4300349646075092
-0.08000000000000007,-4.720000000000001,1.4230249470757708,1.4008925726121901
-0.03000000000000025,-4.77,1.392838827718412,1.4150971698084907
0.019999999999999574,-4.77,1.4080127840328724,1.3793114224133722
