# x_m,y_m,w_tr_right_m,w_tr_left_m
4.8000000000000025,12.2,1.2816005617976298,1.35
4.750000000000002,12.150000000000002,1.3124404748406688,1.3
4.500000000000002,12.150000000000002,1.2589678312014172,1.3238202294873727
4.450000000000001,12.100000000000001,1.30384048104053,1.2854960132182442
4.200000000000001,12.100000000000001,1.2980754985747172,1.3656500283747663
4.15,12.05,1.3341664064126335,1.341640786499874
4.0500000000000025,12.05,1.3152946437965907,1.3892443989449805
4.000000000000002,12.0,1.3583077707206126,1.3729530217745982
3.950000000000001,12.0,1.3536986370680886,1.4008925726121901
3.9000000000000004,11.95,1.4008925726121901,1.3901438774457846
3.8000000000000007,11.95,1.4000000000000001,1.4534441853748634
3.6000000000000014,11.75,1.4000000000000001,1.4534441853748634
3.6000000000000014,11.650000000000002,1.4000000000000001,1.3901438774457846
3.5500000000000007,11.600000000000001,1.35,1.4008925726121901
3.5500000000000007,11.5,1.35,1.3462912017836262
3.5000000000000018,11.45,1.3,1.3647344063956182
3.5000000000000018,11.3,1.3009611831257688,1.3
3.450000000000001,11.25,1.2539936203984454,1.3285330255586425
3.450000000000001,10.3,1.2093386622447824,1.2747548783981963
3.5000000000000018,10.25,1.2539936203984454,1.2369316876852983
3.5000000000000018,9.95,1.25,1.30384048104053
3.5500000000000007,9.900000000000002,1.3,1.2589678312014172
3.5500000000000007,9.55,1.2658988901172163,1.3462912017836262
3.6000000000000014,9.5,1.3086252328302401,1.3200378782444087
3.6000000000000014,9.3,1.3,1.3729530217745982
3.6500000000000004,9.25,1.3462912017836262,1.3341664064126335
3.6500000000000004,9.05,1.2854960132182442,1.35
3.700000000000001,9.0,1.3238202294873727,1.3
3.700000000000001,8.65,1.2369316876852983,1.3238202294873727
3.7500000000000018,8.600000000000001,1.2747548783981963,1.2854960132182442
3.7500000000000018,8.450000000000001,1.2369316876852983,1.3
3.8000000000000007,8.4,1.2747548783981963,1.2509996003196804
3.8000000000000007,8.100000000000001,1.216552506059644,1.2980754985747172
3.8500000000000014,8.05,1.2589678312014172,1.25
3.8500000000000014,7.65,1.2000000000000002,1.2589678312014172
3.9000000000000004,7.600000000000001,1.25,1.216552506059644
3.9000000000000004,7.350000000000001,1.2041594578792296,1.2816005617976298
3.950000000000001,7.300000000000001,1.2509996003196804,1.25
3.950000000000001,7.100000000000001,1.25,1.3200378782444087
4.000000000000002,7.050000000000001,1.3,1.2971121771072847
4.000000000000002,6.75,1.3,1.3647344063956182
4.0500000000000025,6.700000000000001,1.35,1.3238202294873727
4.0500000000000025,5.850000000000001,1.4713938969562161,1.4317821063276355
4.000000000000002,5.800000000000001,1.4317821063276355,1.49164338901763
4.000000000000002,5.550000000000001,1.5041608956491324,1.5
3.950000000000001,5.5,1.477328670269416,1.5508062419270825
3.950000000000001,5.300000000000001,1.5692354826475217,1.5700318468107584
3.9000000000000004,5.25,1.5532224567009068,1.6278820596099708
3.9000000000000004,5.100000000000001,1.6401219466856727,1.6500000000000001
3.8500000000000014,5.050000000000001,1.632482771731451,1.7000000000000002
3.8500000000000014,4.950000000000001,1.6985287751463032,1.7000000000000002
3.8000000000000007,4.9,1.697056274847714,1.75
3.8000000000000007,4.800000000000001,1.7677669529663689,1.75
3.7500000000000018,4.75,1.7677669529663689,1.8
3.7500000000000018,4.700000000000001,1.8034688796871432,1.8
3.6000000000000014,4.550000000000001,1.811767093199344,1.784656829757475
3.450000000000001,4.550000000000001,1.7204650534085255,1.8006943105369109
3.4000000000000004,4.5,1.7334935823359716,1.7528548142958105
3.3000000000000007,4.5,1.680773631397161,1.7613914953808536
3.2500000000000018,4.450000000000001,1.7000000000000002,1.7182840277439582
3.1500000000000004,4.450000000000001,1.6552945357246849,1.7356554957709784
3.1000000000000014,4.4,1.680773631397161,1.6977926846349647
2.950000000000001,4.4,1.628649747490233,1.700735135169495
2.9000000000000004,4.350000000000001,1.6620770138594663,1.6530275254816542
2.700000000000001,4.350000000000001,1.6007810593582121,1.6770509831248424
2.6500000000000004,4.300000000000001,1.63783393541592,1.63783393541592
2.4000000000000004,4.300000000000001,1.5890248582070705,1.6507574019219178
2.3500000000000014,4.25,1.6278820596099708,1.6031219541881399
2.0000000000000018,4.25,1.5890248582070705,1.6500000000000001
1.950000000000001,4.200000000000001,1.6278820596099708,1.6
-0.29999999999999893,4.200000000000001,1.5297058540778357,1.6007810593582121
-0.34999999999999964,4.15,1.5700318468107584,1.5660459763365826
-0.5499999999999989,4.15,1.5508062419270825,1.6347782724271818
-0.5999999999999996,4.100000000000001,1.6,1.6101242188104619
-0.7499999999999982,4.100000000000001,1.6,1.6770509831248424
-0.7999999999999989,4.050000000000001,1.6492422502470643,1.6552945357246849
-0.8999999999999986,4.050000000000001,1.6278820596099708,1.7000000000000002
-0.9499999999999993,4.0,1.6688319268278637,1.6770509831248424
-1.049999999999999,4.0,1.6568041525780892,1.7240939649566667
-1.0999999999999996,3.950000000000001,1.7029386365926404,1.7066048165876013
-1.1999999999999993,3.950000000000001,1.7000000000000002,1.7613914953808536
-1.2499999999999982,3.9000000000000004,1.75,1.75
-1.3499999999999996,3.9000000000000004,1.75,1.811767093199344
-1.3999999999999986,3.8500000000000014,1.8,1.8062391868188443
